time,accel_z,gyro_z,left_step_time,right_step_time
0.0,1.0276,0.1694,0.5748,0.5715
0.02,1.3072,0.1844,0.5352,0.5851
0.04,1.4767,0.2353,0.5564,0.5837
0.06,1.8641,0.2999,0.5551,0.5804
0.08,1.9722,0.3091,0.5524,0.5705
0.1,1.9539,0.3083,0.5521,0.5738
0.12,1.7311,0.3282,0.5626,0.5933
0.14,1.882,0.2818,0.5321,0.5907
0.16,1.5624,0.1274,0.5351,0.5814
0.18,1.5251,0.1376,0.5333,0.5755
0.2,1.5218,0.0966,0.5433,0.6017
0.22,1.422,-0.0006,,
0.24,1.2821,-0.0178,,
0.26,1.0653,-0.0187,,
0.28,1.0599,-0.1062,,
0.3,0.8021,-0.2557,,
0.32,0.6742,-0.2652,,
0.34,0.6041,-0.2748,,
0.36,0.3258,-0.3473,,
0.38,0.1608,-0.2347,,
0.4,0.0061,-0.2642,,
0.42,0.0547,-0.3169,,
0.44,0.0092,-0.1304,,
0.46,-0.1281,-0.1546,,
0.48,0.2086,-0.1149,,
0.5,0.4824,-0.0088,,
0.52,0.5486,0.1045,,
0.54,1.0481,0.1757,,
0.56,1.4073,0.2051,,
0.58,1.5263,0.1707,,
0.6,1.7747,0.2413,,
0.62,1.8009,0.2304,,
0.64,1.8125,0.2734,,
0.66,2.036,0.1887,,
0.68,1.7059,0.2773,,
0.7,1.903,0.2552,,
0.72,1.4543,0.0494,,
0.74,1.5577,0.0782,,
0.76,1.288,0.0975,,
0.78,1.3909,-0.0124,,
0.8,1.1863,-0.0664,,
0.82,1.1965,-0.1204,,
0.84,0.9525,-0.1792,,
0.86,0.5921,-0.1867,,
0.88,0.6791,-0.2553,,
0.9,0.2152,-0.3295,,
0.92,0.3343,-0.3887,,
0.94,0.0959,-0.2317,,
0.96,-0.1061,-0.1717,,
0.98,0.0545,-0.216,,
1.0,0.0812,-0.1211,,
1.02,0.1879,-0.0334,,
1.04,0.3077,-0.0436,,
1.06,0.7303,0.0474,,
1.08,0.8209,0.1599,,
1.1,1.3412,0.1509,,
1.12,1.3178,0.2178,,
1.14,1.6544,0.2492,,
1.16,1.96,0.2383,,
1.18,2.026,0.2364,,
1.2,1.8345,0.3258,,
1.22,1.9826,0.3159,,
1.24,1.8191,0.2444,,
1.26,1.6894,0.2178,,
1.28,1.5351,0.1447,,
1.3,1.4875,0.0657,,
1.32,1.3868,0.0253,,
1.34,1.3928,-0.0552,,
1.36,1.0264,-0.1548,,
1.38,0.9348,-0.1475,,
1.4,0.7546,-0.2216,,
1.42,0.8096,-0.4036,,
1.44,0.3428,-0.2831,,
1.46,0.3288,-0.2876,,
1.48,0.1016,-0.2552,,
1.5,0.0702,-0.2873,,
1.52,0.242,-0.2028,,
1.54,-0.0264,-0.1732,,
1.56,0.1145,-0.1101,,
1.58,0.0457,-0.0644,,
1.6,0.6601,-0.0295,,
1.62,0.8302,0.1441,,
1.64,1.2101,0.2333,,
1.66,1.224,0.1951,,
1.68,1.5873,0.2866,,
1.7,1.8976,0.1505,,
1.72,1.9952,0.2264,,
1.74,1.984,0.2225,,
1.76,1.9027,0.3394,,
1.78,1.7939,0.257,,
1.8,1.783,0.2092,,
1.82,1.5746,0.2228,,
1.84,1.5655,0.0677,,
1.86,1.6146,-0.0431,,
1.88,1.313,-0.0679,,
1.9,1.1138,-0.0853,,
1.92,0.9929,-0.1482,,
1.94,0.674,-0.3057,,
1.96,0.7291,-0.3162,,
1.98,0.3954,-0.3653,,
2.0,0.4559,-0.2627,,
2.02,0.325,-0.3392,,
2.04,0.0628,-0.3263,,
2.06,0.0799,-0.1524,,
2.08,-0.0748,-0.1042,,
2.1,0.2016,-0.1319,,
2.12,0.0697,0.0132,,
2.14,0.485,-0.0185,,
2.16,0.8054,0.1004,,
2.18,1.203,0.0928,,
2.2,1.4435,0.2746,,
2.22,1.7149,0.2369,,
2.24,1.6785,0.3296,,
2.26,1.88,0.3029,,
2.28,2.0569,0.2858,,
2.3,1.668,0.2661,,
2.32,1.6459,0.2978,,
2.34,1.7632,0.184,,
2.36,1.6131,0.2026,,
2.38,1.4991,0.1652,,
2.4,1.3638,0.0835,,
2.42,1.4003,0.043,,
2.44,1.0642,-0.0605,,
2.46,0.8167,-0.2202,,
2.48,0.6679,-0.1653,,
2.5,0.5855,-0.2605,,
2.52,0.5217,-0.2887,,
2.54,0.3114,-0.2877,,
2.56,0.392,-0.2935,,
2.58,0.14,-0.2264,,
2.6,-0.0078,-0.3054,,
2.62,-0.0512,-0.142,,
2.64,-0.0913,-0.1684,,
2.66,0.32,-0.0344,,
2.68,0.4335,0.0346,,
2.7,0.7116,0.0041,,
2.72,0.8248,0.0965,,
2.74,1.3555,0.1587,,
2.76,1.4241,0.1971,,
2.78,1.56,0.266,,
2.8,1.7282,0.3119,,
2.82,1.6732,0.3163,,
2.84,1.843,0.1932,,
2.86,1.9242,0.2515,,
2.88,1.5357,0.1825,,
2.9,1.6734,0.1524,,
2.92,1.6,0.1524,,
2.94,1.4666,0.065,,
2.96,1.4141,0.0127,,
2.98,1.2069,-0.1924,,
3.0,1.1267,-0.0859,,
3.02,0.8709,-0.23,,
3.04,0.9429,-0.3387,,
3.06,0.6305,-0.1606,,
3.08,0.3199,-0.2634,,
3.1,0.4387,-0.3042,,
3.12,0.1705,-0.2375,,
3.14,-0.0656,-0.2567,,
3.16,0.0286,-0.1672,,
3.18,0.0452,-0.1634,,
3.2,0.0743,-0.1086,,
3.22,0.4631,-0.0178,,
3.24,0.5409,0.004,,
3.26,1.1756,0.1696,,
3.28,1.2584,0.0435,,
3.3,1.5179,0.2486,,
3.32,1.8377,0.2855,,
3.34,1.8128,0.3157,,
3.36,1.7055,0.3515,,
3.38,1.9457,0.2591,,
3.4,2.0023,0.3634,,
3.42,1.6443,0.204,,
3.44,1.7033,0.1982,,
3.46,1.5129,0.0821,,
3.48,1.6422,0.1175,,
3.5,1.1909,-0.0703,,
3.52,1.3621,-0.022,,
3.54,1.2512,-0.0957,,
3.56,0.8489,-0.1806,,
3.58,0.5723,-0.2783,,
3.6,0.62,-0.2493,,
3.62,0.3825,-0.3015,,
3.64,0.3348,-0.2807,,
3.66,0.2085,-0.2775,,
3.68,0.0096,-0.2217,,
3.7,0.0039,-0.2618,,
3.72,-0.0336,-0.1682,,
3.74,0.1261,-0.0991,,
3.76,0.3185,-0.0313,,
3.78,0.5458,-0.034,,
3.8,0.879,0.1491,,
3.82,1.1679,0.1493,,
3.84,1.4388,0.1644,,
3.86,1.4318,0.2584,,
3.88,1.6954,0.3216,,
3.9,1.7779,0.1673,,
3.92,1.8118,0.376,,
3.94,1.847,0.2112,,
3.96,1.7325,0.2735,,
3.98,1.7529,0.211,,
4.0,1.7319,0.1815,,
4.02,1.4585,0.1122,,
4.04,1.5055,0.0628,,
4.06,1.3239,-0.1087,,
4.08,1.0857,-0.0841,,
4.1,0.941,-0.1267,,
4.12,0.8863,-0.1848,,
4.14,0.6464,-0.1408,,
4.16,0.6221,-0.3025,,
4.18,0.3383,-0.1702,,
4.2,0.1433,-0.2487,,
